Artist,1,2,3,4,5,6,7,8,,9,,,,,Albums,811
100 Gecs,1000 Gecs,,,,,,,,,,,,,,Artists,451
2Pac,Me Against The World,2Pacalypse Now,,,,,,,,,,,,,,
A Tribe Called Quest,We got it from Here… Thank You 4 your service,The Low End Theory,,,,,,,,,,,,,Albums Per Artist,1.80
Ab-Soul,Do What Thou Wilt,,,,,,,,,,,,,,,
Adele,19,30,,,,,,,,,,,,,,
Adrianne Lenker,songs,,,,,,,,,,,,,,,
Aerosmith,Aerosmith,,,,,,,,,,,,,,,
Against All Logic,2017-2019,,,,,,,,,,,,,,,
A. G. Cook,7G,,,,,,,,,,,,,,,
Air Supply,The One That You Love,,,,,,,,,,,,,,,
Aldous Harding,Designer,,,,,,,,,,,,,,,
Alex Cameron,Miami Memory,,,,,,,,,,,,,,,
Alex G,Rocket,House Of Sugar,,,,,,,,,,,,,,
Alicia Keys,HERE,,,,,,,,,,,,,,,
All Time Low,Future Hearts,,,,,,,,,,,,,,,
Allie X,CollXtion II,Cape God,,,,,,,,,,,,,,
alt-J,Relaxer,,,,,,,,,,,,,,,
Alvvays,Alvvays,Antisocialites,,,,,,,,,,,,,,
American Football,American Football,,,,,,,,,,,,,,,
Anderson Paak,Malibu,Oxnard,Ventura,,,,,,,,,,,,,
Andrew W.K.,You're Not Alone,,,,,,,,,,,,,,,
Angel Olsen,All Mirrors,Whole New Mess,MY WOMAN,,,,,,,,,,,,,
Animal Collective,Merriweather Post Pavilion,Strawberry Jam,Painting With,"Spirit They're Gone, Spirit They've Vanished",,,,,,,,,,,,
Aphex Twin,Selected Ambient Works 85-92,Richard D. James Album,,,,,,,,,,,,,,
Arbour,Sights & Sounds,,,,,,,,,,,,,,,
Arcade Fire,Funeral,Neon Bible,Reflektor,The Suburbs,Everything Now,,,,,,,,,,,
Arctic Monkeys,"Whatever People Say I am, That's What I'm Not",AM,,,,,,,,,,,,,,
Ariana Grande,Sweetener,"Thank U, Next",Positions,,,,,,,,,,,,,
Ariel Pink,Pom Pom,Dedicated To Bobby Jameson,,,,,,,,,,,,,,
Atmosphere,Fishing Blues,,,,,,,,,,,,,,,
Bad Snacks,Neat Tape 2,Bathtub Bumps,Neat Tape 1,,,,,,,,,,,,,
Bastille,Wild World,,,,,,,,,,,,,,,
Albert King,Born Under A Bad Sign,,,,,,,,,,,,,,,
Beach House,7,Beach House,Bloom,,,,,,,,,,,,,
Beck,Sea Change,Morning Phase,,,,,,,,,,,,,,
Belle and Sebastian,If You're Feeling Sinister,Dear Catastrophe Waitress,The Boy With The Arab Strap,,,,,,,,,,,,,
Beyonce,Lemonade,Everything Is Love,,,,,,,,,,,,,,
Big Red Machine,Big Red Machine,,,,,,,,,,,,,,,
Bill Callahan,Shepherd In A Sheepskin Vest,,,,,,,,,,,,,,,
Billie Eilish,"When We Fall Asleep, Where Do We Go?",Happier Than Ever,,,,,,,,,,,,,,
Bjork,Debut,Post,Homogenic,Volta,Utopia,Vespertine,,,,,,,,,,
Black Midi,Schlagenheim,,,,,,,,,,,,,,,
Bleachers,Gone Now,"Terrible Thrills, Vol. 2",Take the Sadness Out of Saturday Night,,,,,,,,,,,,,
Blind Melon,Blind Melon,,,,,,,,,,,,,,,
Blink 182,Enema of the State,Cheshire Cat,Neighborhoods,California,,,,,,,,,,,,
Blood Orange,Freetown Sound,Cupid Deluxe,Negro Swan,Angel's Pulse,,,,,,,,,,,,
Blu,The Color Blu(e),,,,,,,,,,,,,,,
Blu & Exile,Below The Heavens,Miles,,,,,,,,,,,,,,
Bo Burnham,Inside,,,,,,,,,,,,,,,
Bo Diddley,Bo Diddley,,,,,,,,,,,,,,,
Bob Dylan,Highway 61 Revisited,Blonde On Blonde,Triplicate,Blood On The Tracks,Bringing It All Back Home,The Freewheelin Bob Dylan,,,,,,,,,,
Bonnie Prince Billy,I See A Darkness,,,,,,,,,,,,,,,
Bon Iver,"For Emma, Forever Ago",Bon Iver,"22, A Million","i,i",,,,,,,,,,,,
